game_id,year_id,comp_id,phase_id,part_id,team_id,opp_team_id,opp_comp_id,opp_phase_id,team_game_num_season,home_away_neutral,win,loss,tie,pts,opp_pts,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,last_modified
201411210WAS,2015,NBA,REG,NULL,WAS,CLE,NBA,REG,11,h,1,0,0,91,78,240,41,84,4,10,5,9,10,45,24,10,5,17,21,27,75,6,27,18,23,9,41,13,12,4,19,21,"2022-08-03 08:56:59"
201411220CLE,2015,NBA,REG,NULL,CLE,TOR,NBA,REG,12,h,0,1,0,93,110,240,35,81,3,16,20,29,11,46,24,4,6,18,28,32,80,8,24,38,42,8,34,20,8,6,8,26,"2022-08-03 08:56:59"
201411220CLE,2015,NBA,REG,NULL,TOR,CLE,NBA,REG,13,a,1,0,0,110,93,240,32,80,8,24,38,42,8,34,20,8,6,8,26,35,81,3,16,20,29,11,46,24,4,6,18,28,"2022-08-03 08:56:59"
201411220HOU,2015,NBA,REG,NULL,DAL,HOU,NBA,REG,14,a,0,1,0,92,95,240,35,88,6,35,16,22,16,50,17,6,5,14,22,30,82,15,46,20,23,14,47,17,8,0,17,23,"2022-08-03 08:56:59"
201411220HOU,2015,NBA,REG,NULL,HOU,DAL,NBA,REG,13,h,1,0,0,95,92,240,30,82,15,46,20,23,14,47,17,8,0,17,23,35,88,6,35,16,22,16,50,17,6,5,14,22,"2022-08-03 08:56:59"
201411220IND,2015,NBA,REG,NULL,IND,PHO,NBA,REG,13,h,0,1,0,83,106,240,31,84,7,23,14,20,15,47,18,9,5,14,20,38,85,12,31,18,20,13,51,17,10,4,12,19,"2022-08-03 08:56:59"
201411220IND,2015,NBA,REG,NULL,PHO,IND,NBA,REG,14,a,1,0,0,106,83,240,38,85,12,31,18,20,13,51,17,10,4,12,19,31,84,7,23,14,20,15,47,18,9,5,14,20,"2022-08-03 08:56:59"
201411220MIL,2015,NBA,REG,NULL,MIL,WAS,NBA,REG,14,h,0,1,0,100,111,240,36,84,5,15,23,26,8,36,21,11,7,14,20,43,93,8,18,17,22,20,53,27,7,6,14,24,"2022-08-03 08:56:59"
201411220MIL,2015,NBA,REG,NULL,WAS,MIL,NBA,REG,12,a,1,0,0,111,100,240,43,93,8,18,17,22,20,53,27,7,6,14,24,36,84,5,15,23,26,8,36,21,11,7,14,20,"2022-08-03 08:56:59"
201411220MIN,2015,NBA,REG,NULL,MIN,SAC,NBA,REG,12,h,0,1,0,101,113,240,37,90,6,17,21,27,15,37,23,10,7,10,24,40,81,8,26,25,30,14,50,24,4,2,18,19,"2022-08-03 08:56:59"
201411220MIN,2015,NBA,REG,NULL,SAC,MIN,NBA,REG,13,a,1,0,0,113,101,240,40,81,8,26,25,30,14,50,24,4,2,18,19,37,90,6,17,21,27,15,37,23,10,7,10,24,"2022-08-03 08:56:59"
201411220NYK,2015,NBA,REG,NULL,NYK,PHI,NBA,REG,14,h,1,0,0,91,83,240,33,66,6,17,19,21,6,40,15,7,2,18,22,30,75,8,26,15,25,10,36,13,8,1,18,21,"2022-08-03 08:56:59"
201411220NYK,2015,NBA,REG,NULL,PHI,NYK,NBA,REG,13,a,0,1,0,83,91,240,30,75,8,26,15,25,10,36,13,8,1,18,21,33,66,6,17,19,21,6,40,15,7,2,18,22,"2022-08-03 08:56:59"
201411220ORL,2015,NBA,REG,NULL,MIA,ORL,NBA,REG,13,a,1,0,0,99,92,240,37,71,12,26,13,18,7,33,17,7,5,16,20,35,78,3,16,19,27,18,44,18,10,2,14,20,"2022-08-03 08:56:59"
201411220ORL,2015,NBA,REG,NULL,ORL,MIA,NBA,REG,15,h,0,1,0,92,99,240,35,78,3,16,19,27,18,44,18,10,2,14,20,37,71,12,26,13,18,7,33,17,7,5,16,20,"2022-08-03 08:56:59"
201411220SAS,2015,NBA,REG,NULL,NJN,SAS,NBA,REG,13,a,0,1,0,87,99,240,34,91,9,27,10,10,13,44,24,5,5,11,14,41,79,8,21,9,11,6,48,29,7,9,14,9,"2022-08-03 08:56:59"
201411220SAS,2015,NBA,REG,NULL,SAS,NJN,NBA,REG,13,h,1,0,0,99,87,240,41,79,8,21,9,11,6,48,29,7,9,14,9,34,91,9,27,10,10,13,44,24,5,5,11,14,"2022-08-03 08:56:59"
201411220UTA,2015,NBA,REG,NULL,NOH,UTA,NBA,REG,12,a,1,0,0,106,94,240,42,93,4,17,18,22,18,44,19,11,7,9,22,33,71,5,14,23,29,11,42,15,6,8,18,25,"2022-08-03 08:56:59"
201411220UTA,2015,NBA,REG,NULL,UTA,NOH,NBA,REG,14,h,0,1,0,94,106,240,33,71,5,14,23,29,11,42,15,6,8,18,25,42,93,4,17,18,22,18,44,19,11,7,9,22,"2022-08-03 08:56:59"
201411230BOS,2015,NBA,REG,NULL,BOS,POR,NBA,REG,12,h,0,1,0,88,94,240,37,95,5,23,9,12,12,46,17,12,1,8,15,37,86,7,19,13,15,10,55,20,7,3,16,13,"2022-08-03 08:56:59"
201411230BOS,2015,NBA,REG,NULL,POR,BOS,NBA,REG,13,a,1,0,0,94,88,240,37,86,7,19,13,15,10,55,20,7,3,16,13,37,95,5,23,9,12,12,46,17,12,1,8,15,"2022-08-03 08:56:59"
201411230LAL,2015,NBA,REG,NULL,DEN,LAL,NBA,REG,13,a,1,0,0,101,94,265,34,90,10,37,23,38,14,57,20,7,2,16,28,33,89,3,24,25,34,9,50,15,10,6,13,28,"2022-08-03 08:56:59"
201411230LAL,2015,NBA,REG,NULL,LAL,DEN,NBA,REG,14,h,0,1,0,94,101,265,33,89,3,24,25,34,9,50,15,10,6,13,28,34,90,10,37,23,38,14,57,20,7,2,16,28,"2022-08-03 08:56:59"
201411230MEM,2015,NBA,REG,NULL,LAC,MEM,NBA,REG,12,a,0,1,0,91,107,240,32,77,7,25,20,28,5,32,14,10,1,10,27,42,85,7,21,16,23,12,52,20,3,3,17,21,"2022-08-03 08:56:59"
201411230MEM,2015,NBA,REG,NULL,MEM,LAC,NBA,REG,14,h,1,0,0,107,91,240,42,85,7,21,16,23,12,52,20,3,3,17,21,32,77,7,25,20,28,5,32,14,10,1,10,27,"2022-08-03 08:56:59"
201411230MIA,2015,NBA,REG,NULL,CHA,MIA,NBA,REG,14,a,0,1,0,93,94,240,37,79,7,21,12,16,5,33,18,9,1,11,19,33,66,11,23,17,19,3,36,19,4,5,16,16,"2022-08-03 08:56:59"
201411230MIA,2015,NBA,REG,NULL,MIA,CHA,NBA,REG,14,h,1,0,0,94,93,240,33,66,11,23,17,19,3,36,19,4,5,16,16,37,79,7,21,12,16,5,33,18,9,1,11,19,"2022-08-03 08:56:59"
201411230OKC,2015,NBA,REG,NULL,GSW,OKC,NBA,REG,12,a,1,0,0,91,86,240,33,93,7,25,18,24,13,52,26,7,8,9,18,32,90,3,17,19,27,13,57,13,3,12,11,23,"2022-08-03 08:56:59"
201411230OKC,2015,NBA,REG,NULL,OKC,GSW,NBA,REG,15,h,0,1,0,86,91,240,32,90,3,17,19,27,13,57,13,3,12,11,23,33,93,7,25,18,24,13,52,26,7,8,9,18,"2022-08-03 08:56:59"
201411240CHO,2015,NBA,REG,NULL,CHA,LAC,NBA,REG,15,h,0,1,0,92,113,240,31,75,2,20,28,35,5,33,21,6,4,5,17,45,88,15,32,8,10,8,43,28,2,2,8,24,"2022-08-03 08:56:59"
201411240CHO,2015,NBA,REG,NULL,LAC,CHA,NBA,REG,13,a,1,0,0,113,92,240,45,88,15,32,8,10,8,43,28,2,2,8,24,31,75,2,20,28,35,5,33,21,6,4,5,17,"2022-08-03 08:56:59"
